时间,公司名,行业,轮次,金额,投资方,最新估值(估算)(万),标签,基本信息,团队信息
2021-11-30,丰疆智能,智能硬件,B轮,7000万美元,,227500,智能硬件、机器人、机器人,丰疆智能是一家智慧农业与物流机器人研发商，结合大数据、物联网、深度学习、无人驾驶、机器视觉等技术，可提供智能地面机器人、码头无人物流、农业机器人、智能高速插秧机、农机物联网平台等产品与解决方案。,卢锋 董事长 卢锋，丰疆智能科技股份有限公司董事长，东风资产管理有限公司总经理。 吴迪 CEO 吴迪，丰疆智能创始人之一、兼任CEO，负责研发国产智能农用机器人。2003年，吴迪到瑞典留学读博。拿到学位后，他进入爱立信进行手机芯片的研发。后来的他，曾加入创业公司担任研发副总裁，回国后也曾在展讯通信担任系统总监，后来还在苏州大学电子信息学院负责微电子学科的教研工作。2015年，吴迪加入大疆担任首席科学家，继续从事一线的芯片研发工作。 
2021-11-29,拓邦电子,先进制造,战略投资,未透露,"海邦投资, 涌铧投资, 锦冠投资",50000,先进制造、新能源、新能源,拓邦电子是一家太阳能电池生产商，公司致力于为新能源光伏行业提供高效率太阳能电池工艺、材料及设备，为太阳能电池生产企业提供高效率太阳能电池生产解决方案。公司其他主要助剂产品还包括无醇型单晶硅制绒添加剂、太阳能电池表面酸抛光添加剂、硅片清洗添加剂、花篮清洗添加剂等。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-11-29,锋源科技,先进制造,战略投资,1亿人民币,"飞图创投, 雷神资本, 武岳峰资本",50000,先进制造、新能源、IBM系,锋源科技是一家能源解决方案提供商，集研发、生产及销售太阳能、氢燃料电池等混合能源动力系统，为无人机、便携式电源、汽车等平台能源解决方案的科技创新型企业。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-11-29,Mainstream Renewable Power,先进制造,战略投资,9000万欧元,Aker Horizons,351000,先进制造、新能源、新能源,Mainstream Renewable Power是一家爱尔兰风能及太阳能开发商，主营业务为大型风力和太阳能电站的开发、融资及建设。目前已建设项目包括德阿尔太阳能电厂、Knockaneden风电厂、杰弗里斯湾风力发电厂等，服务网络覆盖智利、爱尔兰、菲律宾、墨西哥等国家。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-11-26,兴储世纪,先进制造,D轮,未透露,"青创伯乐, 鼎祥资本, 川商基金, 上元资产, 诺延资本, 浙江华友控股集团",50000,先进制造、新能源、新能源,兴储世纪是一家新能源智能微电网解决方案提供商，致力于为海内外客户提供智能微电网解决方案，包括风光水储充多能互补与协同的技术研发与产品生产、销售与贸易、工程设计与实施、能源管理与优化。,侯为贵 董事长 侯为贵，是中兴能源有限公司的董事长。 
2021-11-26,卫蓝新能源,先进制造,战略投资,5亿人民币,"小米集团, 华为, 顺为资本, 允泰资本",500000,先进制造、新能源、电池,卫蓝新能源是一家固态锂电池研发商，公司主要产品包括混合固液电解质电池和全固态锂电池，产品应用覆盖无人机、电动工具、规模储能、电动汽车、航空航天、国家安全等领域。,"俞会根 董事长 俞会根，董事长，在电源领域拥有多年的工作经验。
 "
2021-11-24,Lancium Technologies,先进制造,战略投资,1.5亿美元,"SBI投资(思佰益), Hanwha Solutions（领投）",487500,先进制造、新能源、环保,Lancium 是一家使用分布式并行计算使可再生能源增长的新技术公司。Lancium 构建和运营数据中心，直接为电源带来增量需求。这种计算为太阳能和风能间歇性引起的过度发电问题提供了独特的解决方案。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-11-24,北控清洁能源,先进制造,战略投资,12.73亿港元,山高金融,509200,先进制造、新能源、新能源,"北控清洁能源是一家光伏发电服务提供商，公司致力于在中国投资、开发、建设、运营及管理光伏发电业务、风电业务及清洁供暖业务，专注于大型地面电站、分布式电站、微网离网电站开发建设的清洁能源领域，拥有先进的光伏技术，以光伏发电为主打造的清洁能源平台，拥有丰富的电站建设开发经验，负责参与建设了国内第一个特许权并网发电光伏项目。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-11-24,海力风电,先进制造,IPO上市,31.05亿人民币,,1318300,先进制造、新能源、新能源,"江苏海力风电设备科技股份是一家专业设备制造商。业务涵盖国家产业政策允许的风力发电设备的零部件研发、生产、销售等。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-11-23,Sun Energy,先进制造,A轮,2500万美元,TBS Energy Utama,81250,先进制造、新能源、新能源,Sun Energy是一家美国太阳能开发商，为太阳能产业研究和开发新技术和创新设计，致力于为用户提供清洁能源生态系统和量身定制的集成太阳能解决方案，专注于机械工程、电气工程、应用设计和系统控制软件。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-11-20,华晟新能源,先进制造,A轮,未透露,"合肥产投（领投）, 招银国际, 瑞华控股, 普华资本, 宣城开盛集团（领投）, 诺延资本, 西子集团",10000,先进制造、新能源、电池,华晟新能源专业从事高效硅异质结电池及组件的研发、生产及销售，面向海内外组件制造商、电站运营商等销售HJT电池片及组件。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-11-18,Titan Advanced,先进制造,B轮,3300万美元,"HG Ventures（领投）, H+ Partners, GS Futures, GS Energy, Doral Energy-Tech Ventures, Fortistar, Energy Innovation Capital, SE Ventures",107250,先进制造、新能源、制造业,Titan Advanced是一家电池管理解决方案供应商，基于超声波技术，通过测量两个关键参数：健康状态（SoH）和充电状态（SoC），决定了电动汽车或设备的BMS如何以高精度和精确度运行。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-11-15,大地电气,先进制造,IPO上市,1.56亿人民币,,78000,先进制造、通信制造、新能源,大地电气是一家车用电线束研发商，主要产品为轿车、工程机械、商用卡车、农林机械、计算机和通讯设备、电子仪器仪表电路连接装置，主要应用于汽车、工程机械、发动机、农业园林机械及新能源车等车辆。,蒋明泉 董事长 	高级经济师，港闸区总商会副会长。曾就职于南通友星机电工业有限公司，历任营销部副经理、经理、副董事长、总经理党支部书记等职务。 
2021-11-15,云威新材料,先进制造,战略投资,未透露,"国轩高科, 南桥资本, 分享投资",50000,先进制造、新材料、新材料,云威新材料是一家致力于锂资源综合开发利用的高科技企业，也是国内唯一采用碳酸锂苛法工艺建设万吨氢氧化锂达标批量生产的企业，公司目前已建成1万吨电池级氢氧化锂生产线。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-11-12,融科氢能,先进制造,B轮,1亿人民币,"北京能源集团, 险峰长青, 中信建投资本, 中船产业投资, 首钢基金(京西创投), 海晟投资, 歌石投资, 安托资本, 东旭集团, 开源证券, 裴普成, 鼎盛信和, 唯稀时代, 华十基金, 沐盟集团",50000,先进制造、新能源、电池,融科氢能是一家氢燃料电池研发商，主营氢燃料电池研发、生产制造与销售。目前融科氢能拥有多项核心技术，公司研发的120kW、80kW、60kW等系列氢燃料电池产品已可广泛运用在重卡及商用物流车上，并与中通客车、中国重汽、宇通、东风汽车形成了良好合作关系。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-11-11,同享科技,先进制造,战略投资,未透露,盈科资本,50000,先进制造、新能源、新能源,同享科技是一家一直专注于发展太阳能光伏组件用涂锡铜带及电子配套产品的研究开发并提供相关服务的企业，并可以根据客户要求研制各种专业用特殊焊接带、铜带、镍带、铝带等。,陆利斌 总经理 陆利斌先生，董事长、总经理，1980年9月出生，中国国籍，无境外永久居留权，硕士学历，2016年4月股份公司成立至今担任公司总经理。 
2021-11-10,Bioenergy Devco,先进制造,战略投资,1亿美元,Irradiant partners,325000,先进制造、新能源、新能源,Bioenergy Devco是一家美国生物能源开发商，通过厌氧技术将有机废物转化为可再生天然气和土壤沼渣，实现可再生生物材料的循环利用。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-11-10,巨一自动化,先进制造,IPO上市,15.76亿人民币,,630200,先进制造、智能装备、工业4.0,巨一自动化是一家机器人自动化装备和新能源汽车电驱动系统数字化解决方案提供商，产品包括白车身焊装系统、动力电池智能装测系统、动力电池装配与测试系统、新能源汽车驱动系统等。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-11-09,Yotta Energy,先进制造,A轮,1300万美元,"Wind万得（领投）, SWAN Impact Network, Riverstone Holdings, EDP Ventures, Doral Energy-Tech Ventures",42250,先进制造、新能源、新能源,Yotta Energy是一家美国模块化储能设备开发商，Yotta Energy提供了一种获得专利的电池热管理系统，该系统可实现太阳能加储能的分散式格式，是屋顶商业和工业应用的理想选择。Yotta的面板级储能解决方案可以轻松地安装在任何太阳能模块中，并与太阳能机架阵列完美集成。即插即用设计简化并标准化了储能与太阳能项目的集成，从而无需笨重，难以安装的外壳和复杂的HVAC系统。此外，该公司的被动式热管理技术使其电池能够承受极端天气并延长其使用寿命。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-11-08,FirstElement Fuel,先进制造,D轮,1.05亿美元,"Air Water, MUFG Bank, Nikkiso, Japan Infrastructure Initiate",341250,先进制造、新能源、新能源,FirstElement Fuel是一家燃料电池生产商，致力于低温燃料电池和液体燃料重整技术，为客户提供零售氢燃料，用于由燃料电池驱动的下一代车辆。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-11-05,阿维塔科技,汽车交通,战略投资,24.2亿人民币,"宁德时代, 闽东电力, 西证投资, 南方资产, 长安汽车, 重庆承安, 南方工业基金",1210000,汽车交通、汽车制造、汽车交通,阿维塔科技(前身长安蔚来新能源汽车)是长安与蔚来共同出资打造的新能源汽车公司，公司业务覆盖智能网联与新能源汽车产业技术研发、零部件生产、运营服务等全产业链。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-11-05,氢蓝时代,先进制造,A轮,未透露,"中国国有企业混合所有制改革基金（领投）, 申能能创",10000,先进制造、新能源、新能源,"氢蓝时代是一家车用氢燃料电池研发商，可为用户提供自主电堆系统、FCU系统控制器、离心式无油空压机、DCDC升压转换器等核心零部件产品。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-11-04,林立新能源,先进制造,战略投资,数亿人民币,"蜂巢能源, 中信建投资本, 鹏瑞地产, 江苏国信, 武汉融和科技",150000,先进制造、新能源、新材料,林立新能源为一家新能源材料及相关产品研发生产销售商，专业从事新能源材料及其相关产品的研发、生产、销售。,马晓玲 CEO 马晓玲，林立新能源CEO。 
2021-11-03,西拓能源,先进制造,战略投资,1.5亿人民币,首航高科,75000,先进制造、新能源、新能源,"西拓能源是一家综合能源运营服务商，主要从事以清洁能源、新能源、智慧能源利用等综合能源运营服务，业务涉及能源发电、 售电业务、增量配电网（电代油）、光热发电、水务技术、烟雨消白、清洁供暖、智能无人机、电站空冷技术、智能机器人自动化技术、电力行业总承包等业务。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-31,远景科技集团,先进制造,战略投资,数亿美元,红杉资本中国,1625000,先进制造、新能源、新能源,远景科技集团（Envision Group）是一家全球领先的绿色科技企业，业务领域横跨可再生能源、氢能和储能，动力电池以及智能物联网。集团旗下拥有智能风电科技企业远景能源、智能电池企业远景AESC、开发全球领先智能物联操作系统的远景智能，以及远景维珍电动方程式车队。远景持续推动风电和光伏成为“新煤炭”，电池和氢燃料成为“新石油”，智能物联网成为“新电网”，开创美好零碳世界。,张雷 CEO 张雷，远景科技集团创始人、CEO。 
2021-10-29,珂玛材料,先进制造,战略投资,未透露,"沃衍资本, 国中创投-国家中小企业发展基金, 中金资本, 浦东科创, 聚源资本-中芯聚源, 北京集成电路装备产业基金, 苏高新金控",50000,先进制造、新材料、新材料,珂玛材料是一家高精密陶瓷材料及产品研发商，旗下主要产品涵盖氧化物陶瓷、氮化物陶瓷、碳化物陶瓷、可加工陶瓷等产品，同时提供精密清洗、表面处理、部件翻新等服务，应用于泛半导体、精密仪器、新能源等领域。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-29,辉能科技,先进制造,E轮,3.26亿人民币,"丹丰创投, 春华资本Primavera, 软银中国资本",163000,先进制造、集成电路、可穿戴设备,辉能科技是一家电源产品研发商， 在2013年实现了固态锂电池的商业化量产，早期应用于消费电子领域，近年来应用于新能源汽车领域。公司的产品包括柔型锂电池、超薄锂电池、异形锂电池等，可应用于通信、交通等领域，同时公司的业务还包括为便携式电子通讯设备、电动交通工具、柔性可穿戴设备提供定制化的电源产品解决方案。,刘强 董事长 刘强，董事长，天津市“千人计划”专家，先后在美国佐治亚大学、克利夫兰州立大学和亚利桑那州立大学从事柔性及微型电池研究。 
2021-10-28,Fluence,先进制造,IPO上市,未透露,,325000,先进制造、新能源、新能源,Fluence是一家储能系统集成商和电力管理技术开发商，Fluence已经为众多客户部署了大约5千兆瓦的储能和管理系统。正在部署的电池技术能够与其他所需的技术相结合，从而为工业和社会提供所需的电力。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-27,东超科技,先进制造,A+轮,3500万人民币,伟时电子,17500,先进制造、军工制造、新材料,东超科技是一家可交互空气成像技术研发商，致力于空气成像技术的研发与生产，其主要研发成果为非等效负折射率材料，整合中科院安徽光机所和中科院西安光机所两大精密光学研究所对空气成像进行联合研发和生产，可以用在军工安全，车载显示，医疗成像，智能家电，广告和展览展示等领域。,韩东成 创始人 韩东成，东超科技创始人，具有多年相关行业经验。 范超 创始人 范超，安徽省东超科技有限公司创始人 
2021-10-25,库博能源,先进制造,A轮,数千万人民币,"启明创投（领投）, 松禾资本",15000,先进制造、新能源、大数据,库博能源是一家在电力数据领域有着极富开拓精神的能源互联网科技公司。专注于“工商业客户电力运营数据服务、分布式储能、需求侧响应、虚拟电厂”四大业务单元的运行与研究。,吴俊阳 CEO 吴俊阳，为深圳库博能源科技有限公司的创始人 
2021-10-25,南都华宇,先进制造,战略投资,1.8亿人民币,南都电源（领投）,90000,先进制造、新能源、电池,"南都华宇是一家蓄电池生产商，位于国家首批城市矿产示范基地、国家循环经济试点园区的安徽省界首市田营循环经济工业区，是一家拥有极板制造和蓄电池组装两大专业生产线的综合型企业。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-23,Via Separations,先进制造,B轮,3800万美元,"The Engine, Embark Ventures, NGP Energy Capital Management（领投）, Safar Partners, Prime Impact Fund, Massachusetts Clean Energy Center, 2040 Foundation",123500,先进制造、新能源、新能源,Via Separations是一家能源技术服务商，通过其新颖的化学物质实现工业脱碳，这些化学物质使制造设施能够在生产更多产品的同时大幅削减能源消耗，实现了最多的电气化化工生产中的能源密集型步骤，并为客户创造额外收入。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-21,擎波探索,先进制造,种子轮,未透露,险峰长青,3250,先进制造、新能源、新能源,"擎波探索是一家氢能船艇动力系统技术提供商，致力于将清洁能源-氢能应用于海洋领域，变革船艇动力系统和能源驱动方式。将自身在燃料电池行业和船舶工程领域的丰富经验，以及对舱内氢安全技术、船艇动力系统需求、船舶法规等领域的深刻理解，通过高效融合转化为超前的技术优势，为用户提供从研发段到运营端的整体解决方案。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-21,远景科技集团,先进制造,战略投资,6亿美元,春华资本Primavera,1170000,先进制造、新能源、新能源,远景科技集团（Envision Group）是一家全球领先的绿色科技企业，业务领域横跨可再生能源、氢能和储能，动力电池以及智能物联网。集团旗下拥有智能风电科技企业远景能源、智能电池企业远景AESC、开发全球领先智能物联操作系统的远景智能，以及远景维珍电动方程式车队。远景持续推动风电和光伏成为“新煤炭”，电池和氢燃料成为“新石油”，智能物联网成为“新电网”，开创美好零碳世界。,张雷 CEO 张雷，远景科技集团创始人、CEO。 
2021-10-20,大鱼视觉,先进制造,A轮,数千万人民币,前海母基金,15000,先进制造、工业4.0、新能源,大鱼视觉技术（河南）有限公司是一家工业自动测试设备与系统解决方案提供商。主要测试产品用于液晶LCD与柔性OLED及AMOLED中小型平板、集成电路、汽车电子、太阳能面板等行业的生产厂家。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-20,NexWafe,先进制造,C轮,3900万欧元,"Saudi Aramco Energy Ventures, RNESL（领投）, InnoEnergy, Lynwood",152100,先进制造、新能源、新能源,NexWafe是一家单晶硅晶圆制造商，为太阳能电池生产商提供高质量的晶圆。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-19,敦化抽水蓄能,先进制造,战略投资,2905万人民币,吉电股份,14525,先进制造、新能源、新能源,"敦化抽水蓄能是一家抽水蓄能服务提供商。业务涵盖电力电量生产、向电网销售电能、为电网提供服务、水电工程调试及检修、技术咨询、技术培训、旅游资源开发及运营等其他相关项目等。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-18,Enpal,先进制造,C轮,2.9亿美元,"软银愿景基金（领投）, HV Capital",942500,先进制造、新能源、新能源,Enpal是一家太阳能设备务供应商，致力于使用人工智能高效地为房主提供太阳能设备和安装服务，并采用订阅付费的模式，其产品已经使客户能够通过太阳能系统和绿色全包能源解决方案减少电力支出。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-15,冠宇电池,先进制造,IPO上市,22.47亿人民币,,1618800,先进制造、新能源、电池,冠宇电池是一家聚合物锂离子电池供应商，是集锂电池研发、生产、销售于一体的中外合资企业。主导产品为聚合物锂离子电池。,徐延铭 董事长 徐延铭，冠宇电池董事长兼总经理。 
2021-10-13,奇点能源,先进制造,Pre-A轮,未透露,"水木春锦资本, 麦格米特",10000,先进制造、新能源、新能源,奇点能源致力于先进储能系统中核心技术研究和产品开发，为推动大规模清洁能源接入，实现全球碳中和目标，贡献行业领先的解决方案。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-13,RatedPower,先进制造,A轮,600万美元,"Seaya Ventures（领投）, Glovo, Wallbox, Cabify",19500,先进制造、新能源、新能源,RatedPower是一家西班牙光伏电站软件开发商，旗下主要产品为pvDesign软件，可即时计算光伏项目数据，为用户提供太阳能发电厂工程自动化设计等服务。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-13,极电光能,先进制造,Pre-A轮,2.2亿人民币,"碧桂园创投（领投）, 建银国际, 九智资本（领投）, 云林基金, 稳晟科技",110000,先进制造、新能源、新能源,极电光能自主研发的1cm²钙钛矿太阳能电池效率超过22.7%，10cmx10cm组件效率达19.41%，30cmx30cm组件效率超过15%，产业化技术水平处于行业领先。同时公司积极布局下游产业的研究与创新，未来公司产品将为光伏建筑一体化（BIPV）、分布式光伏、地面电站以及其他创新应用等领域提供优质高效的智慧解决方案。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-13,RedEarth,先进制造,B轮,881万美元,"Ord Minnett, Perennial Value Management, Thorney Investments",28632.5,先进制造、新能源、新能源,RedEarth是一家澳大利亚储能服务提供商，为用户提供家用电池、并网和离网储能系统等，旗下产品有太阳能电池等。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-13,泓慧能源,传统制造,战略投资,1亿人民币,"广大特材, 皓海产融",50000,传统制造、环保、环保,泓慧能源是一家飞轮储能技术提供商，开发出了国际领先的具有完全自主知识产权的系列化飞轮储能技术和产品，并致力于以此技术为核心为不同领域的客户提供绿色、高效和安全的节能解决方案。泓慧能源研发的HHE系列高性能储能飞轮产品，可广泛应用于轨道交通制动能回收利用、UPS毫秒级不间断电源、港口码头龙门起重机节能延寿，以及微电网、人防工程、风力太阳能储能电站等领域。,王佳良 董事长 王佳良，北京泓慧国际能源技术发展有限公司创始人。 
2021-10-11,太阳井,先进制造,Pre-A轮,未透露,"国发创投, 石湖基金, 通威股份",10000,先进制造、新能源、电池,"太阳井是一家光伏电池制造设备与组件生产销售商 ，致力于太阳能电池电极金属铜制程技术。主要研发生产销售光伏电池的制造设备与组件；自动化控制软件的研发、销售；并提供上述相关产品的技术咨询、技术转让。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-10-11,碳能科技,传统制造,Pre-A轮,未透露,奇绩创坛,10000,传统制造、环保、环保,碳能科技是一家碳利用技术研发及商业化服务提供商，致力于碳利用技术、氢能关键技术研发及商业化。通过自主研发的纳米催化剂、高效反应器和优化的工艺流程，将工业排放的二氧化碳高效的转化为合成气、合成油和合成蜡等具有工业应用价值的化学品和新材料，为企业提供碳中和解决方案，将碳减排压力转为碳资源利用动力，兼顾经济性的同时有效降低碳排放，塑造可持续的未来。,康鹏 创始人 康鹏，为碳能科技（北京）有限公司创始人、CTO，中国科技大学本科，美国斯坦福大学化学博士，美国北卡罗来纳大学博士后。师从美国科学院院士Thomas J. Meyer教授和美国科学院院士Maurice Brookhart教授。长期致力于二氧化碳电化学利用技术的研发和工程化。 王帅 CEO 王帅，碳能科技CEO，吉林大学工学学士、哲学硕士。2005年在北京师范大学成人教育学院担任辅导员；2006年创立教育文化传播公司，开展新型教育理念推广，普及继续教育与终生教育，并成功获得资本支持，分别在北京、上海、杭州等城市设立分支机构，积累了深厚的公司组织管理经验、领导力和市场拓展能力。 田力 CMO 田力，碳能科技CMO，山东大学工商管理本科，负责政府关系及商务拓展。2006年合伙成立美联天成投资有限公司，从事矿产投资及生产业务；2011年进入北京大学校友会工作，成立北京大学企业家俱乐部；2013年发起成立北京大学创业训练营，期间三年兼任聚美优品公关部高级总监，协助聚美优品在纽交所上市。 
2021-10-09,中储国能,先进制造,Pre-A轮,1.5亿人民币,"招银国际（领投）, 中科创星, 联想之星, 普华资本, 华控基金",75000,先进制造、新能源、新能源,中储国能是一家新能源服务提供商，中储国能专注于压缩空气储能技术，技术源自中国科学院工程热物理研究所，是通过科技成果作价入股的方式创办的产业化公司。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-30,兴储世纪,先进制造,C轮,未透露,"招商局资本, 川创投, 青创伯乐, 凯旋创投, 海汇投资, 鼎祥资本, 中信证券, 河南上元资产管理",25000,先进制造、新能源、新能源,兴储世纪是一家新能源智能微电网解决方案提供商，致力于为海内外客户提供智能微电网解决方案，包括风光水储充多能互补与协同的技术研发与产品生产、销售与贸易、工程设计与实施、能源管理与优化。,侯为贵 董事长 侯为贵，是中兴能源有限公司的董事长。 
2021-09-30,贵能卡本,先进制造,战略投资,8910万人民币,,22300,先进制造、新能源、新能源,贵能卡本是一家瓦斯发电及煤层气利用技术提供商。公司坚持“立足贵州、专注燃气、上下延伸、适度多元”的总体发展战略，经过 30余年发展，在天然气业务方面公司已成为贵州省供气量最大、管网覆盖区域最广的城市燃气专业运营商。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-29,奥动新能源,先进制造,B轮,15亿人民币,"粤商创投, 春阳资本, KIP韩投伙伴, 恩泽基金（领投）",750000,先进制造、新能源、电池,奥动电吧是一家新能源汽车换电服务提供商，致力于电动汽车换电服务、电池全生命周期管理及换电站商业化运营。用户可以通过APP自主查询附近的汽车换电站，3分钟内即可成功换电，无需自建充电桩，从而延长汽车使用寿命。,蔡东青 董事长 蔡东青，奥飞娱乐董事长。中山大学EMBA。具有现代经营理念和管理知识。1989年创办奥迪玩具有限公司，已发展成一家集科工贸于一体、产供销相结合的大型民营企业。奥迪双钻品牌被广东工商行政管理局认定为“广东省著名商标”。担任第十届全国青联委员、广东省青联委员、中国玩具协会副会长、广东省玩具协会副会长、汕头市人大代表。 
2021-09-27,天华时代,先进制造,战略投资,未透露,宁德时代,50000,先进制造、新能源、新能源,"天华时代是一家新能源产业投资服务商，专注于能源投资领域，主要以自有资金从事投资活动，包括金属矿石销售、技术开发等服务。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-27,Wattwatchers,先进制造,B轮,530万美元,"Kilara Capital（领投）, CEFC（领投）",17225,先进制造、新能源、新能源,Wattwatchers是一个澳大利亚数字能源平台，旨在利用从住宅到工业用途的可再生能源部署，基于数据分析技术，使空调、热水、太阳能电池和电动汽车充电等家用电器能够集成和控制。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-26,Focused Energy,先进制造,种子轮,1500万美元,Prime Movers Lab（领投）,48750,先进制造、新能源、新能源,"Focused Energy是一家美国清洁替代能源研发商，专注于聚变发电及能源商业化，通过激光压缩聚变燃料并点燃导致能量爆发，从而生产出大量清洁能源。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-22,唐锋能源,先进制造,B轮,数亿人民币,"光速中国（领投）, 高瓴投资, 朗玛峰创投, 昆仲资本, 金浦投资",150000,先进制造、新能源、电池,上海唐锋能源科技有限公司是一家从事燃料电池膜电极研发、生产、测试和销售的专业化公司，目前专注于氢能源燃料电池膜电极开发，所开发和生产的低成本、高性能和长寿命燃料电池膜电极达到国际先进水平。,章俊良 董事长兼总经理 章俊良，唐锋能源创始人、董事长兼总经理。担任上海交通大学致远学院常务副院长、上海交通大学燃料电池研究所教授。1994年和1997年毕业于上海交大，分别获学士和硕士学位。2005年于美国纽约州立大学石溪分校获博士学位。2002年3月至2007年5月在美国Brookhaven国家实验室材料科学部和化学部从事博士和博士后研究。2007年5月加入美国通用汽车公司研发总部，电化学能源研究实验室，任研究科学家，2009年1月晋升为高级研究员。2011年9月全职加入上海交通大学。 
2021-09-19,Arcadia,先进制造,D轮,1亿美元,"Tiger Global老虎海外（领投）, Wellington Management, Reimagined Ventures, Camber Creek, Energy Impact Partners, BoxGroup, Drawdown  Fund（领投）, MCJ Collective, G2 Venture Partners, Inclusive Capital",325000,先进制造、新能源、新能源,Arcadia是一个家庭能源平台，提供清洁能源和节约能源。阿卡迪亚电力公司正在从地面改造客户效用体验，并将其个人化.他们提供客户每月无缝计费，获得风能，社区太阳能项目，以及对节能产品的即期融资。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-18,美格科技,先进制造,新三板定增,未透露,小米集团（领投）,50000,先进制造、新能源、新能源,美格科技是一家移动式太阳能能源产品供应商，专注于应用高效晶体硅、非晶硅、CIGS（铜铟镓硒）、砷化镓、有机太阳能等多种太阳能电池片制作的移动式和嵌入式移动能源的终端应用产品，产品包括太阳能充电器、太阳能背包及智能门窗等。,桂裕鹏 董事长 桂裕鹏，武汉美格科技股份有限公司董事长。 
2021-09-17,格派新能源,先进制造,B+轮,1.92亿人民币,LG,96000,先进制造、新能源、新材料,格派新能源是一家动力电池材料提供商，公司主要业务包括钴镍锰等基础料、三元前驱体、锂电正极材料以及动力电池梯次循环利用等，致力于建设新能源动力电池产业生产圈。,曹栋强 董事长 曹栋强，格派新能源董事长。 
2021-09-17,鲲华科技,先进制造,战略投资,未透露,,50000,先进制造、新能源、电池,"鲲华科技是一家燃料电池技术及产品应用开发商，致力于燃料电池技术及产品应用开发，面向氢储能、智慧交通等应用领域，团队具有丰富的氢能应用经验和研发服务能力，可以快速形成技术应用落地和场景定制化开发的能力。同时，鲲华科技与国内领先的光伏、储能企业合作，打造风、光、储、氢一体化方案，共同开拓氢储能市场。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-17,易来科得,先进制造,天使轮,千万级人民币,创新工场,5000,先进制造、新能源、电池,易来科得是一家新能源电池智能设计工业软件解决方案提供商，主营业务锂离子电池/固态电池/氢能燃料电池膜电极电池设计服务与设计工具，致力于为国内外电池生产和应用企业进行“正向设计”赋能，为企业提供便捷高效的电池设计技术服务。,陈新虹 创始人 陈新虹，易来科得创始人及CEO，博士 ，毕业于南京理工大学计算流体力学专业，是周培基国际青年学者奖第一位中国获奖者、美国机械工程师协会（ASME）会员，拥有第一发明人专利20余项。她曾长期担任大型外企仿真部门负责人，在带领团队解决实际工程问题的过程中积累了大量经验，并于2018年起投身研发自主可控的多物理场仿真工具的事业。 
2021-09-16,Britishvolt,先进制造,B轮,7000万美元,"嘉能可, Carbon Transition, NG Bailey",650000,先进制造、新能源、新能源,Britishvolt是一家英国新能源汽车电池管理提供商，该公司通过制造低碳新能源电池，致力于为其电动汽车提供新能源电池动力、电池储能等业务。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
